	polarity	word
277	positive	concilier
278	positive	concorde
279	positive	concret
280	negative	concurrent
281	negative	concurrentiel
282	positive	conditionnel
283	positive	confection
284	positive	confessionnel
285	positive	confidentiel
286	negative	conflit
287	positive	confrérie féminin
288	negative	confus
289	negative	conjecture
290	positive	conjoint
291	positive	connaisseur
292	positive	connecter
293	positive	connaître
294	positive	conquérant
295	positive	consciencieux
296	positive	consécutif
297	positive	conseiller
298	positive	consentement
299	positive	conservation
300	negative	conservateur
301	positive	consolateur
302	negative	conspiration
303	negative	conspirateur
304	negative	constamment
305	positive	constitutionnel
306	negative	contagieux
307	positive	conte
308	positive	contemporain
309	positive	content
310	negative	contestable
311	positive	conteur
312	positive	contiguë
313	positive	continuel
314	negative	contraindre
315	negative	contrarier
316	negative	contrebandier
317	positive	contrecarrer
318	positive	contremaître
319	negative	contretemps
320	negative	contrevenant
321	negative	contrevenir à
322	positive	contributrice
323	positive	convenance
324	positive	conventionnel
325	positive	copain
326	negative	copieur
327	positive	copine
328	negative	coquillage
329	positive	corallien
330	negative	corbeau
331	positive	cordial
332	positive	corporel
333	negative	correctif
334	positive	correspondant
335	positive	costaud
336	positive	côtier
337	positive	côtière
338	negative	coup de feu
339	positive	courageux
340	positive	courbure
341	positive	coureur
342	positive	courrier
343	negative	courroie
344	positive	courtier
345	positive	coutumier
346	negative	crainte
347	negative	craintif
348	negative	crasseux
349	positive	créancier
350	positive	créateur
351	positive	crémeux
352	negative	crétin
353	negative	creux
354	negative	crevasse
355	negative	cri
356	negative	criminel
357	negative	critiquer
358	negative	critiqueur
359	positive	croître
360	positive	crosse
361	positive	croyant
362	negative	cruel
363	negative	cruellement
364	positive	cueilleur
365	positive	cultiver
366	positive	curatif
367	positive	curé
368	negative	curieux
369	positive	curseur
370	positive	cursus
371	positive	cutané
372	negative	cuve
373	positive	cuvette
374	negative	dangereux
375	positive	danseur
376	positive	de ce monde
377	positive	de garçon
378	positive	de naissance
379	negative	de travers
380	negative	débiteur
381	positive	début
382	negative	débutant
383	negative	déception
384	negative	décès
385	negative	déchaîner
386	positive	déclaration
387	positive	déclarer
388	positive	déclinaison
389	negative	décombre|décombres
390	positive	décontracter
391	positive	décoratif
392	negative	décevoir
393	negative	dédaigneux
394	positive	défaire son valise
395	negative	défaire
396	negative	défectueux
397	positive	défendable
398	positive	défendeur
399	negative	défensif
400	negative	déficience
401	negative	dégât
402	negative	dégénérer
403	negative	dégoã»ter
404	negative	délabrer
405	negative	délaver
406	positive	déléguer
407	negative	délicat
408	positive	délicatesse
409	positive	délice
410	positive	délicieux
411	negative	délinquant
412	negative	demanderesse
413	negative	démence
414	negative	dément
415	positive	demeure
416	positive	démonstrateur
417	positive	dentaire
418	negative	dénuer
419	negative	dépareiller
420	negative	déplacer
421	negative	déplaire
422	negative	dépourvue
423	negative	dépourvues
424	negative	dépourvus
425	negative	dépressif
426	positive	dérogation
427	negative	dérouter
428	positive	du conjoint
429	negative	désagrément
430	negative	désapprobateur
431	negative	désastreux
432	negative	désavantage
433	positive	descendant
434	positive	descriptif
435	negative	déshonneur
436	positive	désopiler
437	negative	désordre
438	negative	désorganisation
439	positive	dessiner le contour
440	negative	destroyer
441	negative	destructeur
442	negative	déstructurer
443	positive	détenteur
444	negative	détenir
445	positive	déterminer
446	negative	détourner
447	negative	dévalorisation
448	negative	dévastateur
449	negative	dévoiler
450	negative	dictateur
451	negative	diffamatoire
452	negative	différend
453	positive	différentiel
454	negative	difficile
455	negative	difficulté
456	negative	difforme
457	negative	difformité
458	negative	diminuer
459	negative	diminution
460	negative	dingue
461	positive	directement
462	positive	directeur|directrice de le photographie
463	positive	discipliner
464	negative	discordance
465	positive	discret
466	negative	disgracieux
467	negative	dispute
468	negative	dissident
469	negative	dissimuler
470	positive	distinction
471	positive	distinctif
472	positive	distinguer
473	positive	divertir
474	positive	divin
475	negative	diviser en deux
476	negative	divulgation
477	negative	dominateur
478	positive	donateur
479	positive	donner son approbation à
480	positive	donneur
481	positive	dormeur|dormeuse
482	positive	doux
483	positive	douer
484	negative	douloureux
485	negative	douteur
486	positive	doyen
487	negative	draconien
488	positive	du gouverneur
489	positive	du moi|mois précédent
490	positive	dual
491	negative	dubitatif
492	negative	duperie
493	positive	duplicata
494	positive	duveteux
495	negative	ébouriffer
496	negative	ébranler
497	negative	écailleur
498	positive	écartement
499	negative	échec
500	positive	éclaireur
501	positive	éclat
502	positive	économe
503	positive	écoulement
504	negative	écraser
505	positive	écume
506	negative	écumeur
507	positive	édifice
508	positive	éditeur
509	negative	effervescence
510	negative	effrayer|effrayer
511	negative	effroyable
512	negative	égarer
513	positive	élan
514	positive	électeur
515	positive	éleveur
516	positive	élocution
517	positive	emballeur
518	negative	embarrasser
519	positive	éminent
520	negative	émotif
521	positive	empaqueteur|empaqueteuse
522	positive	employer
523	positive	employer de bureau
524	negative	empoisonner
525	positive	empreinte digital
526	negative	emprunteur
527	positive	en avant
528	negative	en diminution
529	positive	en double
530	positive	en extase
531	negative	en flamme
532	positive	en ivoire
533	positive	en or
534	positive	en totalité
535	positive	enchérisseuse
536	positive	endormir
537	positive	enduire
538	negative	enflammer
539	positive	engager
540	negative	enlever
541	negative	ennemi
542	negative	ennuyeux
543	negative	énormément
544	positive	enquêtrice
545	negative	entaille
546	positive	entente
547	positive	entier
548	positive	entrain
549	positive	entraîneur
550	negative	entre parenthèse
551	positive	entremetteur
552	negative	envieux
553	positive	environ|environs
554	positive	envoyer
555	negative	épars
556	positive	épicier
557	negative	épineux
558	negative	éploré
559	negative	épluchure
560	positive	épouse
561	negative	épouvantable
562	positive	équivalent
563	negative	éroder
564	negative	escarper
565	negative	escroquer
566	positive	espèce
567	positive	espiègle
568	negative	espion
569	negative	esprit du mal
570	positive	estimable
571	positive	étape
572	negative	étendre
573	positive	éternel
574	positive	étonnant
575	negative	étouffer
576	negative	étrange
577	negative	étranger
578	positive	être apprenti
579	negative	être constamment sur le dos de
580	positive	étreindre
581	positive	étreinte
582	positive	étudiant
583	negative	évasif
584	negative	éventuel
585	negative	évitement
586	positive	évocateur
587	positive	examinateur
588	positive	exceptionnel
589	negative	excessif
590	positive	excursion
591	positive	excuser
592	positive	excuser moi
593	negative	exécrer
594	positive	exécuteur testamentaire
595	positive	exhaustif
596	negative	exiger
597	positive	exister
598	positive	existence
599	negative	expatrier
600	positive	expérimentateur
601	positive	expérimenter
602	positive	expert
603	positive	expertise
604	positive	explicatif
605	negative	explosif
606	negative	expulser
607	negative	exténuer
608	negative	extrêmement
609	positive	fabricant
610	positive	fabriquer
611	negative	fabriquer de tout pièce
612	positive	facile
613	positive	facultatif
614	negative	faire attention à
615	negative	faire dissidence
616	positive	faire du shopping
617	negative	faire obstacle à
618	negative	faire un manifestation devant
619	positive	faire un sieste
620	positive	faisable
621	negative	fallacieux
622	positive	familial
623	positive	fanatique
624	positive	farfadet
625	negative	fastidieux
626	negative	faux
627	positive	favorable
628	positive	fécond
629	negative	feignant
630	positive	féminin
631	positive	fermier
632	positive	fermoir
633	positive	fervent
634	positive	ferveur
635	positive	festin
636	positive	festif
637	positive	feutrer
638	positive	fidèle
639	positive	fier
640	negative	fiévreux
641	positive	figuratif
642	negative	filandreux
643	negative	fin
644	positive	flatteur
645	negative	flot
646	negative	folle|fou
647	positive	folle|fou de joie
648	negative	folle|fou furieux
649	positive	fonceur
650	positive	fonctionnel
651	positive	fondateur
652	negative	forcer
653	positive	forcément
654	negative	foreur
655	positive	formatif
656	positive	formateur
657	positive	forme
658	positive	fort
659	positive	forteresse
660	negative	fouillis
661	negative	fouineur
662	positive	fourgonnette
663	negative	fragmenter
664	positive	franc
665	positive	fraternel
666	negative	frauduleux
667	negative	frimeur
668	negative	frisson
669	negative	froid
670	positive	fructueux
671	positive	fruit de l imagination
672	negative	fugitif
673	negative	fugueur
674	negative	fumeur|fumeuse
675	negative	furie
676	negative	furieux
677	negative	furtif
678	negative	futé
679	negative	gadoue
680	positive	gagnant
681	positive	gain
682	positive	gamin
683	positive	garant
684	positive	gardien
685	negative	garnement
686	negative	gaspilleur
687	positive	gazouillis
688	negative	géant
689	negative	gélatineux
690	positive	gemme
691	negative	gêner
692	positive	généraliser
693	positive	générateur|génératrice
694	positive	généreux
695	positive	genre
696	positive	girond
697	negative	gitan
698	positive	glaçage
699	negative	glauque
700	positive	globalité
701	positive	glume
702	positive	gousse
703	positive	gracieux
704	positive	graduel
705	positive	grain
706	negative	graisseur|graisseux
707	positive	grand salle
708	negative	granuleux
709	negative	gras
710	negative	gravats
711	negative	graveleux
712	positive	graveur
713	negative	grincheux
714	negative	grisonner
715	negative	grizzly
716	negative	grossier
717	negative	grossièreté
718	negative	guenille
719	positive	guérissable
720	negative	guerrier
721	positive	habitant
722	positive	habit
723	positive	habituer
724	positive	habituel
725	negative	haillon
726	negative	haine
727	negative	handicaper
728	negative	hanter
729	positive	harmonieux
730	negative	harnachement
731	negative	hâtif
732	negative	haut
733	negative	herbeux
734	positive	héritage
735	positive	heureux
736	negative	hideux
737	positive	historien
738	negative	homosexuel
739	negative	honteux
740	negative	horrible
741	positive	hors pair
742	negative	hostilité
743	negative	houleux
744	negative	hystérique
745	negative	idiot
746	positive	ignifuger
747	negative	illettré
748	positive	illimiter
749	positive	illustre
750	positive	imaginatif|imaginative
751	negative	imbécile
752	negative	imitateur
753	positive	immaculé
754	negative	immatériel
755	positive	immense
756	negative	immigrant
757	negative	immigrer
758	negative	immonde
759	positive	immortel|immortelle
760	negative	impensable
761	negative	impératif
762	negative	impersonnel
763	negative	impitoyable
764	negative	importun
765	negative	imprécis
766	negative	imprévu
767	negative	improductif
768	negative	inactif
769	negative	inadéquat
770	negative	inattendu
771	negative	inattention
772	negative	incalculable
773	negative	incendie criminel
774	negative	incendie de forêt
775	negative	incestueux
776	negative	incisive
777	positive	inclure
778	negative	incohérent
779	positive	incomparable
780	negative	incompétent
781	negative	incompréhensible
782	negative	inconcevable
783	negative	inconnu|inconnue
784	negative	inconscient
785	negative	inconvenance
786	negative	indécent
787	negative	indic
788	positive	indication
789	positive	indicatif
790	negative	indigent
791	negative	indiscret
792	negative	indompté
793	positive	industrie de le pêche
794	positive	industrieux
795	positive	inébranlable
796	negative	inéluctable
797	negative	inexplicable
798	negative	inextensible
799	negative	infâme
800	negative	infect
801	negative	infectieux
802	negative	inférieur
803	negative	infertile
804	negative	infiltration
805	negative	inflexible
806	negative	influençable
807	positive	informateur
808	negative	infraction
809	positive	ingénieux
810	negative	inhabituel
811	negative	inhospitalier
812	positive	initiateur
813	positive	initier
814	negative	injustifiable
815	positive	innocent
816	positive	inoffensif
817	negative	inquiet
818	negative	inquisiteur
819	negative	insensible
820	negative	insidieux
821	negative	insolite
822	negative	insouciant
823	negative	insoutenable
824	positive	inspecteur
825	positive	instinctif
826	positive	instructif
827	positive	instructrice
828	positive	instruire
829	negative	insurger
830	positive	intellectuel
831	negative	intenter un procès à
832	negative	intentionnel
833	negative	interminable
834	negative	interrogateur
835	negative	interrompre
836	negative	interruption
837	positive	intervieweur
838	positive	intime
839	positive	introductif
840	positive	introspectif
841	negative	introverti
842	negative	intrus
843	negative	intrusion
844	negative	intrusif
845	positive	intuitif
846	negative	inutilisé
847	positive	invariable
848	positive	inventif
849	positive	inventeur
850	positive	investigateur
851	negative	irrationnel
852	negative	irréel
853	negative	irréfléchi
854	negative	irrégulier
855	negative	irrespectueux
856	negative	irrévérencieux
857	negative	isoler
858	positive	itératif
859	positive	jadis
860	negative	jappement
861	negative	jeter
862	positive	jeu de hasard
863	positive	joaillier
864	positive	jovial
865	positive	joyeux
866	positive	joyeusement
867	positive	judicieux
868	positive	jumelle
869	negative	kidnapper
870	positive	le plus intime
871	positive	le plus secret
872	negative	laborieux
873	positive	laineur|laineuse
874	negative	laisser sans surveillance
875	positive	laiterie
876	positive	laiteux
877	positive	lame
878	positive	lamelle
879	negative	lamentable
880	negative	lascif
881	negative	las
882	positive	latéral
883	negative	latéralement
884	positive	lauréat
885	negative	laxatif
886	positive	léger
887	positive	législatif
888	positive	législateur
889	negative	leurre
890	positive	libéral
891	positive	libidineux
892	negative	licenciement
893	positive	ligneux
894	negative	limitatif
895	negative	limite
896	positive	limitrophe
897	positive	lit de bébé
898	positive	lit cage
899	negative	litigieux
900	positive	locution
901	positive	locuteur
902	positive	logement
903	positive	longue
904	positive	louable
905	negative	lourd
906	positive	loyal
907	positive	loyauté
908	positive	lucratif
909	negative	lueur vacillant
910	negative	lumière éblouissant
911	positive	lumineux
912	negative	lunatique
913	positive	lustrer
914	negative	lutteur
915	positive	luxueux
916	positive	magicien
917	positive	magnitude
918	positive	maîtrise
919	positive	majesté
920	positive	majestueux
921	negative	malade
922	negative	maladif
923	negative	maladroit
924	negative	malavisé
925	negative	malchanceux
926	negative	malheureux
927	negative	maligne
928	positive	malléable
929	negative	malpropre
930	negative	malveillant
931	positive	maniable
932	negative	manière
933	positive	manifestant
934	positive	manifeste
935	positive	manuelle
936	negative	marais
937	positive	marchand
938	positive	marchand de fruit et légume
939	positive	marcheur
940	negative	marécage
941	negative	marécageux
942	negative	marginal
943	positive	marieur
944	negative	marinade
945	negative	marmonner
946	negative	martyr|martyre
947	positive	masculinité
948	positive	matelas
949	positive	matelassage
950	positive	matériel
951	positive	maternel
952	positive	mathématicien
953	negative	matière visqueux
954	negative	maudire
955	negative	maussade
956	positive	maximum
957	negative	mec
958	positive	mécanicien
959	positive	mécanisme
960	negative	méconnaître
961	positive	médiateur|médiatrice
962	positive	méditerranéen
963	negative	mélancolique
964	positive	mélanger
965	positive	mélodieux
966	negative	mendiant
967	negative	menstruation
968	positive	menstruel
969	negative	menteur
970	positive	menu
971	negative	méprendre
972	negative	méprisable
973	negative	mercuriel
974	positive	mériter
975	positive	merveilleux
976	positive	messager
977	negative	méticuleux
978	positive	métier
979	positive	mettre en liberté conditionnel
980	negative	meulage
981	negative	meurtrier|meurtrière
982	negative	militant
983	negative	mince
984	negative	miniature
985	positive	ministériel
986	positive	minuscule
987	positive	minutieux
988	positive	miraculeux
989	positive	miséricordieux
990	negative	mixture
991	positive	modèle
992	positive	modérateur
993	positive	modérer
994	positive	modeste
995	negative	mou
996	positive	montagneux
997	positive	monter
998	negative	moqueur
999	negative	morne
1000	negative	morose
1001	negative	mortel
1002	negative	motocross
1003	negative	mouchard
1004	negative	mouffette
1005	negative	mousse
1006	negative	mousseux
1007	positive	mouvement
1008	positive	moyenne
1009	negative	muet|muette
1010	negative	mugissement
1011	positive	musicien
1012	positive	mutuel
1013	negative	mystérieux
1014	negative	nain
1015	negative	narquois
1016	positive	narrateur
1017	negative	nauséeux
1018	positive	navigateur
1019	negative	nébuleuse
1020	positive	négociant
1021	positive	négociateur
1022	negative	négresse
1023	positive	neigeux
1024	negative	néné
1025	positive	nerveux
1026	positive	nette
1027	negative	névrosé
1028	negative	nichon
1029	negative	noble
1030	negative	nocif
1031	positive	nominée
1032	positive	nommer
1033	positive	non contraindre
1034	negative	non divulguer
1035	negative	non immatriculer
1036	negative	non officiel
1037	negative	non organique
1038	negative	non souhaiter
1039	negative	non surveiller
1040	positive	non tacher
1041	negative	non valider
1042	negative	non résident
1043	positive	nonchalamment
1044	negative	nonchalant
1045	positive	nonne
1046	positive	normatif
1047	negative	notionnel
1048	positive	notoriété
1049	positive	nouveau
1050	positive	nouveau venu|venue
1051	negative	nuageux
1052	negative	nuisible
1053	negative	nul
1054	positive	nutritif
1055	positive	objectif
1056	positive	obligatoire
1057	negative	obliger
1058	negative	obscénité
1059	negative	obséquieux
1060	positive	observateur
1061	positive	obstétricien
1062	positive	occasion
1063	positive	occasionnel
1064	positive	occupant
1065	negative	odieux
1066	positive	odorer
1067	negative	offense
1068	positive	officiant
1069	negative	officieux
1070	negative	oisif
1071	positive	onctuosité
1072	negative	onéreux
1073	positive	onguent
1074	positive	opérationnel
1075	positive	opérateur
1076	positive	opportun
1077	negative	opposable
1078	negative	oppressif
1079	positive	optionnel
1080	negative	orageux
1081	positive	orateur
1082	negative	ordinaire
1083	positive	organisation
1084	positive	organisateur
1085	negative	orgueilleux
1086	negative	orphelin|orpheline
1087	positive	ottoman|ottomane
1088	negative	oublieur
1089	positive	ouvrier
1090	negative	pâlir
1091	positive	palissade
1092	positive	paquet
1093	positive	par intérim
1094	negative	par mégarde
1095	negative	paresseux
1096	negative	parieur
1097	positive	parmi
1098	positive	part
1099	positive	particule
1100	negative	particulier
1101	positive	partisan
1102	negative	parvenir
1103	negative	pas le moindre
1104	positive	passager
1105	negative	passif
1106	positive	pastille
1107	negative	pâtée
1108	positive	paternel
1109	positive	patron|patronne
1110	negative	pause
1111	positive	payeur
1112	negative	paysan
1113	negative	pécheresse
1114	negative	peine
1115	negative	péjoratif
1116	positive	pendant ce temps
1117	positive	penderie
1118	negative	péniblement
1119	positive	penseur
1120	positive	pensif
1121	positive	père
1122	negative	père fouettard
1123	negative	perforateur|perforatrice
1124	negative	périlleux
1125	negative	périmer
1126	positive	permanent
1127	positive	permettre
1128	positive	permissif
1129	negative	pernicieux
1130	positive	perpétuel
1131	positive	persister
1132	positive	personne sonder
1133	positive	perspicace
1134	positive	persuasif
1135	positive	pertinent
1136	negative	pervers
1137	negative	peser
1138	negative	pet
1139	positive	pétillement
1140	negative	pétrifier
1141	negative	pétrin
1142	negative	peu commun
1143	negative	peu équitable
1144	negative	peu recommandable
1145	negative	peu scrupuleux
1146	negative	peu séduire
1147	negative	peureux
1148	positive	pharmacien
1149	positive	phénoménal
1150	positive	photo
1151	positive	photocopie
1152	positive	physicien
1153	positive	physique
1154	negative	pierreuse|pierreux
1155	positive	piéton
1156	positive	pieux
1157	positive	pigeonnier
1158	negative	pilleur
1159	negative	pinailleur
1160	positive	pionnier
1161	negative	pitoyable
1162	negative	placer en quarantaine
1163	negative	plaignant
1164	positive	plaisant
1165	positive	plein été
1166	positive	pliable
1167	positive	plonger
1168	positive	plongeur
1169	positive	pluriel
1170	positive	plus frais
1171	positive	plus grand
1172	positive	plus haut
1173	negative	plus poteler
1174	positive	plus sèche
1175	negative	pluvieux
1176	positive	poids lourd
1177	negative	poignard
1178	negative	poigne
1179	negative	poilu
1180	positive	pointe
1181	negative	pointilleux
1182	positive	polir
1183	positive	police
1184	positive	policier
1185	negative	polisson
1186	positive	politesse
1187	negative	pompeur
1188	positive	ponctuel
1189	negative	populeux
1190	negative	poreux
1191	negative	porter un coup sec à
1192	positive	porteur
1193	negative	position par défaut
1194	negative	poteler
1195	positive	potentiel
1196	negative	poudreuse
1197	negative	poursuivre en justice
1198	negative	pousser à
1199	negative	poussiéreux
1200	positive	pragmatique
1201	positive	praticien
1202	positive	pratique
1203	positive	précieux
1204	negative	précipiter
1205	negative	prédateur
1206	positive	préférentiel
1207	positive	préliminaire
1208	positive	premier
1209	positive	premier naître
1210	positive	preneur
1211	positive	préparer
1212	positive	préserver
1213	positive	président
1214	negative	présomptueux
1215	negative	prétentieux
1216	negative	prétention
1217	positive	prêteur
1218	positive	préventive
1219	positive	primaire
1220	negative	primitif
1221	positive	princier
1222	positive	printanier
1223	negative	prisonnier
1224	negative	prisonnier de guerre
1225	positive	prodigieux
1226	positive	productif
1227	positive	producteur
1228	positive	proéminence
1229	positive	proéminent
1230	positive	professorat
1231	positive	programmateur
1232	positive	progressif
1233	negative	prohibitif
1234	positive	promeneur
1235	positive	prometteur
1236	positive	promotionnel
1237	positive	promoteur
1238	negative	promptement
1239	positive	prophétesse
1240	positive	proportionnel
1241	positive	proprement
1242	positive	protecteur
1243	positive	protestant
1244	negative	protubérance
1245	negative	provincial
1246	negative	provocateur
1247	negative	proxénète
1248	positive	proximité
1249	positive	prudemment
1250	positive	pull
1251	negative	pulpeux
1252	negative	punir
1253	positive	pur
1254	positive	purgatif
1255	negative	purger
1256	positive	putatif
1257	positive	qualifiante
1258	positive	qualificatif
1259	positive	quantitatif
1260	positive	quasiment
1261	negative	quelconque
1262	negative	qui augmenter fortement
1263	positive	qui commencer
1264	negative	qui donner envie de vomir
1265	negative	qui ébranler
1266	negative	qui manquer de considération
1267	positive	qui résonner
1268	positive	race
1269	positive	rachidien
1270	positive	radieux
1271	negative	radin
1272	negative	radioactif
1273	negative	rafale
1274	positive	raffiner
1275	negative	rafle
1276	positive	rafraîchissement
1277	negative	raillerie
1278	negative	railleur
1279	negative	raisonneur
1280	negative	rancunier
1281	positive	randonneur
1282	negative	raser
1283	positive	rationnel
1284	positive	ravitaillement
1285	positive	rayonnant
1286	positive	rayonnement
1287	positive	réactif
1288	positive	réalisable
1289	positive	réaménagement
1290	positive	récapitulatif
1291	positive	récemment
1292	positive	réceptif
1293	positive	recevoir
1294	negative	réclamation
1295	negative	reclus
1296	negative	recoin
1297	negative	reconnaître coupable
1298	positive	recouvrable
1299	positive	récréatif
1300	positive	recueil
1301	positive	rédactionnel
1302	positive	rédacteur en chef
1303	negative	réduire en purée
1304	positive	refléter
1305	positive	réformateur
1306	negative	réfugier
1307	positive	régal
1308	positive	régent
1309	positive	réglage
1310	positive	règlement intérieur
1311	negative	regret
1312	positive	régulière
1313	positive	relâcher
1314	positive	relatif
1315	positive	remarquable
1316	negative	remordre
1317	negative	remplaçant
1318	positive	rémunérateur
1319	negative	renégat
1320	positive	renommer
1321	negative	renversement
1322	negative	renvoyer
1323	negative	répandre
1324	positive	réparateur
1325	positive	répartir
1326	positive	répit
1327	negative	report
1328	positive	représentant
1329	positive	représentatif
1330	positive	reproducteur|reproductrice
1331	positive	républicain
1332	negative	répugner
1333	negative	requérant
1334	positive	résident
1335	negative	résiduel
1336	positive	résistant
1337	positive	respectif
1338	positive	respectueux
1339	positive	resplendir
1340	negative	restriction
1341	negative	restrictif
1342	positive	retraire
1343	positive	retraiter
1344	positive	rétroactif
1345	positive	réunion
1346	positive	réussir
1347	positive	révélateur
1348	positive	révérencieux
1349	positive	rêveur
1350	negative	révocation
1351	negative	rigoureux
1352	negative	rital
1353	positive	rituel
1354	negative	rival
1355	negative	rompre
1356	positive	rotative
1357	positive	routard
1358	positive	route national
1359	negative	ruine
1360	negative	ruiner
1361	positive	ruisseau
1362	positive	sagacité
1363	positive	sain et sauf
1364	positive	saint
1365	negative	saisir
1366	positive	saloon
1367	positive	sanguine
1368	negative	sans assistance
1369	positive	sans cesse
1370	positive	sans égal
1371	positive	sans entrave
1372	positive	sans fin
1373	negative	sans fondement
1374	positive	sans histoire
1375	negative	sans merci
1376	positive	sans opposition
